conf_speech/audio_descriptions.csv_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
bell,0.78,0.75,0.8,0.73,1,8
color,0.9099999999999999,0.9,0.7666666666666666,0.8133333333333332,2,3
jar,0.6933333333333332,0.7,0.8666666666666666,0.6933333333333332,1,8
frame,0.76,1.0,0.65,0.7666666666666666,2,10
orang,0.7,0.45,0.4666666666666666,0.44666666666666666,1,7
pepper,0.6183333333333334,0.55,0.23333333333333334,0.31666666666666665,2,9
yellow,0.9550000000000001,1.0,0.9333333333333332,0.96,8,8
marker,0.4966666666666666,0.0,0.0,0.0,1,8
allen,0.5766666666666668,0.1,0.03333333333333333,0.05,1,8
open,0.5199999999999999,0.0,0.0,0.0,1,8
lime,0.9333333333333332,1.0,0.9333333333333332,0.96,1,8
pink,0.9466666666666667,1.0,0.9333333333333332,0.96,2,9
use,0.8550000000000001,0.725,0.9666666666666666,0.799047619047619,1,4
lemon,0.9266666666666667,0.9,0.9333333333333332,0.8933333333333333,1,8
pictur,0.8300000000000001,0.95,0.8333333333333333,0.8566666666666667,1,7
syring,0.5683333333333332,0.0,0.0,0.0,1,8
hammer,0.6233333333333333,0.45,0.3,0.3466666666666666,1,8
bowl,0.7566666666666667,0.8,0.6333333333333333,0.69,1,8
plastic,0.8633333333333333,0.9,0.7333333333333333,0.79,1,6
mug,0.8766666666666667,0.7,0.55,0.6,1,8
appl,0.9666666666666666,1.0,0.95,0.9666666666666666,1,8
black,0.59,0.4583333333333333,0.6666666666666666,0.5257142857142857,10,7
toothbrush,0.4966666666666666,0.0,0.0,0.0,1,8
tape,0.5700000000000001,0.0,0.0,0.0,1,8
screwdriv,0.8466666666666667,0.8333333333333334,0.8,0.78,1,8
banana,0.8766666666666666,0.9,0.7166666666666667,0.78,1,8
red,0.8433333333333334,0.7333333333333333,0.95,0.8133333333333335,6,7
wrench,0.7266666666666667,0.6,0.3,0.3833333333333333,1,8
fork,0.5833333333333333,0.5,0.3333333333333333,0.3833333333333333,1,8
blue,0.5,0.5083333333333333,0.6833333333333333,0.5542857142857143,10,8
bottl,1.0,1.0,1.0,1.0,5,9
plate,0.7083333333333334,0.3,0.16666666666666666,0.2,1,8
plier,0.615,0.5666666666666667,0.6833333333333333,0.6033333333333333,1,8
handl,0.6116666666666666,0.485,1.0,0.6440476190476191,5,9
toothpast,0.5933333333333333,0.7,0.3333333333333333,0.44333333333333336,1,8
coffe,0.885,0.9,0.7166666666666666,0.78,1,8
water,0.8466666666666667,1.0,0.8333333333333333,0.8833333333333332,1,8
band,0.7483333333333333,0.75,0.7333333333333333,0.6666666666666667,1,8
spoon,0.525,0.25,0.18333333333333332,0.2,1,8
mechan,0.5283333333333333,0.0,0.0,0.0,1,8
pair,0.7583333333333332,0.7166666666666666,0.5666666666666667,0.6199999999999999,3,9
bulb,0.7949999999999999,1.0,0.6499999999999999,0.75,1,8
purpl,0.5133333333333333,0.0,0.0,0.0,1,8
white,0.4766666666666667,0.4416666666666666,0.9666666666666666,0.579047619047619,9,5
box,0.8550000000000001,0.8833333333333332,0.8833333333333332,0.8666666666666668,3,10
measur,0.6183333333333333,0.0,0.0,0.0,1,8
stapler,0.9266666666666665,1.0,0.8666666666666666,0.9133333333333333,1,8
onion,0.7583333333333333,0.7,0.5333333333333333,0.5833333333333333,1,8
glass,0.33999999999999997,0.0,0.0,0.0,1,8
light,0.6633333333333333,0.7,0.4,0.4833333333333333,1,7
potato,0.95,1.0,0.9166666666666666,0.9466666666666667,1,8
shampoo,0.9349999999999999,1.0,0.8666666666666666,0.9133333333333333,1,8
pencil,0.49333333333333335,0.0,0.0,0.0,1,8
needl,0.6916666666666667,0.4,0.25,0.2966666666666667,2,10
scissor,0.8266666666666668,0.7,0.5166666666666666,0.58,1,8
green,0.8616666666666667,0.95,0.7666666666666667,0.8366666666666667,3,9
can,0.7483333333333333,0.9,0.5666666666666667,0.6766666666666667,2,8
small,0.4,0.0,0.0,0.0,4,6
aid,0.845,0.9,0.8,0.8066666666666666,1,8
book,0.8616666666666667,1.0,0.7166666666666667,0.8099999999999999,1,8
silver,0.8099999999999999,0.7333333333333333,0.75,0.7133333333333334,3,9
Folder Number:  6000
Accuracy:  0.7275409836065573
F1-Score:  0.5517291178766589
Precision:  0.6128688524590165
Recall:  0.5513661202185792
conf_speech/audio_descriptions.csv_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
bell,0.7233333333333334,0.6166666666666666,0.6166666666666666,0.5866666666666667,1,8
color,0.8066666666666666,0.6916666666666667,0.7,0.6723809523809524,2,4
jar,0.735,0.6666666666666666,0.9,0.7166666666666668,1,8
frame,0.7933333333333332,1.0,0.6333333333333333,0.7466666666666667,2,10
orang,0.63,0.5,0.31666666666666665,0.37666666666666665,1,7
pepper,0.6566666666666666,0.6,0.31666666666666665,0.4066666666666666,2,9
yellow,0.9600000000000002,1.0,0.9333333333333332,0.9600000000000002,8,8
marker,0.525,0.0,0.0,0.0,1,8
allen,0.74,0.6,0.31666666666666665,0.4,1,8
open,0.5149999999999999,0.0,0.0,0.0,1,7
lime,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,8
pink,0.8916666666666668,0.85,0.9333333333333332,0.86,2,8
use,0.8066666666666666,0.8,0.85,0.78,1,4
lemon,0.9216666666666666,1.0,0.8666666666666668,0.9133333333333333,1,8
pictur,0.8716666666666667,0.9666666666666666,0.8166666666666667,0.8600000000000001,1,8
syring,0.5483333333333332,0.0,0.0,0.0,1,8
hammer,0.7083333333333334,0.6833333333333333,0.5833333333333333,0.6033333333333334,1,8
bowl,0.8483333333333333,1.0,0.7166666666666667,0.8166666666666668,1,8
plastic,0.7566666666666667,0.65,0.41666666666666663,0.4833333333333333,1,6
mug,0.8766666666666667,0.8,0.6333333333333333,0.6933333333333334,1,8
appl,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666665,1,8
black,0.68,0.5166666666666666,0.55,0.53,10,8
toothbrush,0.515,0.0,0.0,0.0,1,8
tape,0.30333333333333334,0.0,0.0,0.0,1,8
screwdriv,0.7749999999999999,1.0,0.6833333333333333,0.7866666666666667,1,8
banana,0.805,0.9,0.6833333333333333,0.7566666666666666,1,8
red,0.7466666666666666,0.6683333333333333,0.8,0.714047619047619,6,7
wrench,0.6633333333333333,0.7,0.4166666666666667,0.5066666666666666,1,8
fork,0.635,0.3,0.18333333333333332,0.21666666666666665,1,8
blue,0.43000000000000005,0.44833333333333325,0.5666666666666667,0.49380952380952375,10,8
bottl,0.785,0.5833333333333333,1.0,0.7314285714285715,5,10
plate,0.6416666666666666,0.2,0.08333333333333333,0.11666666666666665,1,8
plier,0.8550000000000001,0.8166666666666667,0.7999999999999999,0.8066666666666666,1,8
handl,0.6766666666666666,0.5916666666666667,1.0,0.7304761904761904,5,9
toothpast,0.72,0.5,0.31666666666666665,0.36666666666666664,1,8
coffe,0.8166666666666668,0.9,0.65,0.7366666666666667,1,8
water,0.7966666666666666,1.0,0.7666666666666666,0.8433333333333334,1,8
